trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 1707.199999999255, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 8.06}, {'imgObject': {}, 'id': 'chickenfingers', 'src': '/static/foodstim60/chickenfingers.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 1713.5999999996275, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 6.66}]",1866.8999999994412,1669847106847,seaweed,chickenfingers,8.06,6.66,-1.4000000000000004,chickenfingers,2348.4000000003725,2349,2348.7000000001863,True,i,4732.399999999441,2865.5,1669847109713,2866,HRV,HRV_0307,2022-11-30 22:30:58
1,"[{'imgObject': {}, 'id': 'eggsalad', 'src': '/static/foodstim60/eggsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 1715.199999999255, 'positionName': 'LEFT', 'positionCoords': [358, 245.5], 'bid': 6.33}, {'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 1716.7999999998137, 'positionName': 'RIGHT', 'positionCoords': [832, 245.5], 'bid': 4.0600000000000005}]",4732.5999999996275,1669847109713,eggsalad,cantaloupe,6.33,4.0600000000000005,-2.2699999999999996,cantaloupe,2298.7000000001863,2299,2298.9000000003725,True,i,7550.0999999996275,2817.5,1669847112530,2817,HRV,HRV_0307,2022-11-30 22:30:58
2,"[{'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 1717.699999999255, 'positionName': 'LEFT', 'positionCoords': [358, 244.5], 'bid': 7.33}, {'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 1719.2999999998137, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 7.38}]",7550.199999999255,1669847112530,lox,kiwi,7.33,7.38,0.04999999999999982,kiwi,1601.1000000005588,1602,1601.2000000001863,True,i,9660.899999999441,2110.7000000001863,1669847114641,2111,HRV,HRV_0307,2022-11-30 22:30:58
3,"[{'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 1724.199999999255, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 7.47}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 1733.8999999994412, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 8.73}]",9661.0,1669847114641,fruitsalad,yogurt no spoon,7.47,8.73,1.2600000000000007,fruitsalad,2202.5999999996275,2203,2202.7999999998137,True,u,12369.399999999441,2708.399999999441,1669847117350,2709,HRV,HRV_0307,2022-11-30 22:30:58
4,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 1743.5, 'positionName': 'LEFT', 'positionCoords': [357, 244.5], 'bid': 6.38}, {'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 1724.3999999994412, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 7.47}]",12369.699999999255,1669847117350,mango,fruitsalad,6.38,7.47,1.0899999999999999,fruitsalad,1301.6000000005588,1302,1301.9000000003725,True,i,14190.899999999441,1821.2000000001863,1669847119171,1821,HRV,HRV_0307,2022-11-30 22:30:58
5,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 1744.5, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 4.97}, {'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 1708.0999999996275, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 8.06}]",14191.099999999627,1669847119171,steak,seaweed,4.97,8.06,3.0900000000000007,seaweed,1032.2000000001863,1033,1032.5,True,i,15730.699999999255,1539.5999999996275,1669847120711,1540,HRV,HRV_0307,2022-11-30 22:30:58
6,"[{'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 1745.699999999255, 'positionName': 'LEFT', 'positionCoords': [357, 244.5], 'bid': 5.03}, {'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 1866.0999999996275, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 8.42}]",15730.799999999814,1669847120711,corn cob,popsicles,5.03,8.42,3.3899999999999997,NaN,NaN,NaN,,False,NaN,19752.799999999814,4022.0,1669847124733,4022,HRV,HRV_0307,2022-11-30 22:30:58
7,"[{'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 1747.0999999996275, 'positionName': 'LEFT', 'positionCoords': [358, 245.5], 'bid': 8.42}, {'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 1747.699999999255, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 7.67}]",19753.0,1669847124733,luckycharms,shreddedwheatwithmilk,8.42,7.67,-0.75,shreddedwheatwithmilk,1662.2999999998137,1663,1662.5,True,i,21934.599999999627,2181.5999999996275,1669847126915,2182,HRV,HRV_0307,2022-11-30 22:30:58
8,"[{'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 1756.0999999996275, 'positionName': 'LEFT', 'positionCoords': [358, 245.5], 'bid': 8.53}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 1758.5, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 8.81}]",21934.799999999814,1669847126915,salmon,cherries,8.53,8.81,0.28000000000000114,cherries,1512.8999999994412,1513,1513.0999999996275,True,i,23953.39999999944,2018.5999999996275,1669847128934,2019,HRV,HRV_0307,2022-11-30 22:30:58
9,"[{'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 1760.5, 'positionName': 'LEFT', 'positionCoords': [358, 245.5], 'bid': 5.0200000000000005}, {'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 1744.3999999994412, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 4.97}]",23953.599999999627,1669847128934,omelette,steak,5.0200000000000005,4.97,-0.05000000000000071,steak,1661.7000000001863,1662,1662.0,True,i,26125.0,2171.4000000003725,1669847131105,2171,HRV,HRV_0307,2022-11-30 22:30:58
