trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3823, 'positionName': 'LEFT', 'positionCoords': [512.6, 335.5], 'bid': 9.44}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3835, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 8.81}]",4806,1669836446510,ice cream sundae 002,rigatoni and sauce,9.44,8.81,-0.629999999999999,rigatoni and sauce,1363,1377,1377,True,i,6691,1885,1669836448394,1884,HRV,HRV_0220,2022-11-30 19:33:25
1,"[{'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4806, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 2.1}, {'imgObject': {}, 'id': 'salmon', 'src': '/static/foodstim60/salmon.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4231, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335.5], 'bid': 5.57}]",6691,1669836448394,olives,salmon,2.1,5.57,3.47,salmon,1150,1158,1156,True,i,8356,1665,1669836450059,1665,HRV,HRV_0220,2022-11-30 19:33:25
2,"[{'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4225, 'positionName': 'LEFT', 'positionCoords': [512.6, 335], 'bid': 9.54}, {'imgObject': {}, 'id': 'corn cob', 'src': '/static/foodstim60/corn cob.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4106, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 8.59}]",8356,1669836450060,roastedpotatoes,corn cob,9.54,8.59,-0.9499999999999993,roastedpotatoes,766,779,779,True,u,9651,1295,1669836451354,1294,HRV,HRV_0220,2022-11-30 19:33:25
3,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 3834, 'positionName': 'LEFT', 'positionCoords': [511.6, 334.5], 'bid': 8.81}, {'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4238, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335.5], 'bid': 8.28}]",9651,1669836451355,rigatoni and sauce,mashed potato,8.81,8.28,-0.5300000000000011,rigatoni and sauce,1049,1061,1061,True,u,11218,1567,1669836452922,1567,HRV,HRV_0220,2022-11-30 19:33:25
4,"[{'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4241, 'positionName': 'LEFT', 'positionCoords': [511.6, 335.5], 'bid': 6.83}, {'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4243, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 7.42}]",11218,1669836452922,omelette,tacos,6.83,7.42,0.5899999999999999,tacos,1107,1118,1119,True,i,12844,1626,1669836454548,1626,HRV,HRV_0220,2022-11-30 19:33:25
5,"[{'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4167, 'positionName': 'LEFT', 'positionCoords': [510.6, 335], 'bid': 8.540000000000001}, {'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4216, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 8.540000000000001}]",12844,1669836454548,yogurt no spoon,blueberries,8.540000000000001,8.540000000000001,0.0,blueberries,1387,1393,1394,True,i,14750,1906,1669836456454,1906,HRV,HRV_0220,2022-11-30 19:33:25
6,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4286, 'positionName': 'LEFT', 'positionCoords': [512.6, 335], 'bid': 7.68}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4312, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 6.3500000000000005}]",14750,1669836456454,apple slices,mango,7.68,6.3500000000000005,-1.3299999999999992,apple slices,934,936,937,True,u,16200,1450,1669836457904,1450,HRV,HRV_0220,2022-11-30 19:33:25
7,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4243, 'positionName': 'LEFT', 'positionCoords': [510.6, 334.5], 'bid': 7.42}, {'imgObject': {}, 'id': 'turkeysandwich', 'src': '/static/foodstim60/turkeysandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4282, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335.5], 'bid': 3.34}]",16200,1669836457904,tacos,turkeysandwich,7.42,3.34,-4.08,tacos,1109,1118,1118,True,u,17821,1621,1669836459525,1621,HRV,HRV_0220,2022-11-30 19:33:25
8,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4299, 'positionName': 'LEFT', 'positionCoords': [512.6, 335.5], 'bid': 6.03}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 3834, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 8.81}]",17822,1669836459525,eggs,rigatoni and sauce,6.03,8.81,2.7800000000000002,rigatoni and sauce,628,643,642,True,i,18976,1154,1669836460679,1154,HRV,HRV_0220,2022-11-30 19:33:25
9,"[{'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4296, 'positionName': 'LEFT', 'positionCoords': [510.6, 335], 'bid': 6.58}, {'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4314, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 6.3500000000000005}]",18976,1669836460679,pear,mango,6.58,6.3500000000000005,-0.22999999999999954,pear,1037,1039,1039,True,u,20523,1547,1669836462226,1547,HRV,HRV_0220,2022-11-30 19:33:25
