trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4351.809308166261, 'positionName': 'LEFT', 'positionCoords': [166, 261], 'bid': 8.18}, {'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4347.1093393154715, 'positionName': 'RIGHT', 'positionCoords': [624, 261], 'bid': 8.93}]",4509.309283721814,1669830867183,popsicles,roastedpotatoes,8.18,8.93,0.75,roastedpotatoes,3455.000006984128,3456,3455.4000578285786,True,i,8473.509342667852,3964.2000589460386,1669830871148,3965,HRV,HRV_0102,2022-11-30 17:59:09
1,"[{'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 8476.309279531337, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 6.51}, {'imgObject': {}, 'id': 'pear', 'src': '/static/foodstim60/pear.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 8476.609317664675, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 9}]",8474.309304674198,1669830871148,shreddedwheatwithmilk,pear,6.51,9.0,2.49,pear,950.3000381333386,950,950.399981003171,True,i,9933.109305791659,1458.8000011174609,1669830872607,1459,HRV,HRV_0102,2022-11-30 17:59:09
2,"[{'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 9935.709287074194, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0.52}, {'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 9935.809299785307, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 0.39}]",9933.909337639281,1669830872607,froot loops w milk,grilled chicken strips,0.52,0.39,-0.13,froot loops w milk,969.4999643809479,971,969.8000025142865,True,u,11423.409329956741,1489.49999231746,1669830874097,1490,HRV,HRV_0102,2022-11-30 17:59:09
3,"[{'imgObject': {}, 'id': 'ice cream sundae 002', 'src': '/static/foodstim60/ice cream sundae 002.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 11426.509304953563, 'positionName': 'LEFT', 'positionCoords': [512.6, 335.5], 'bid': 9.9}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 11426.609317664675, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 8.51}]",11424.10934909325,1669830874098,ice cream sundae 002,cherries,9.9,8.51,-1.3900000000000006,ice cream sundae 002,1372.0999456634854,1372,1372.399983796824,True,u,13302.909308305943,1878.7999592126926,1669830875977,1879,HRV,HRV_0102,2022-11-30 17:59:09
4,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 13305.709315010707, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 9.87}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 13305.80932772182, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 9.67}]",13303.609327442455,1669830875978,strawberries,apple slices,9.87,9.67,-0.1999999999999993,strawberries,780.3999530666606,780,780.4999657777735,True,u,14603.009321017056,1299.3999935746015,1669830877277,1299,HRV,HRV_0102,2022-11-30 17:59:09
5,"[{'imgObject': {}, 'id': 'banana', 'src': '/static/foodstim60/banana.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 14606.10929601388, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 9.87}, {'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 14606.209308724992, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 8.93}]",14603.809283023402,1669830877278,banana,roastedpotatoes,9.87,8.93,-0.9399999999999995,banana,840.4000368761936,840,840.5000495873064,True,u,15954.509302159911,1350.7000191365096,1669830878629,1351,HRV,HRV_0102,2022-11-30 17:59:09
6,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 15963.909309702769, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0.2}, {'imgObject': {}, 'id': 'burger', 'src': '/static/foodstim60/burger.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 15964.109335124995, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335.5], 'bid': 2.77}]",15955.50928958848,1669830878629,steak,burger,0.2,2.77,2.57,burger,1488.5000048888905,1489,1488.6000176000016,True,i,17958.509321715468,2003.0000321269872,1669830880632,2003,HRV,HRV_0102,2022-11-30 17:59:09
7,"[{'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 17961.309328420233, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 6.4}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 17961.409341131344, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335.5], 'bid': 4.45}]",17959.10932814087,1669830880633,blackbeanswithrice,chicken nuggets2,6.4,4.45,-1.9500000000000002,blackbeanswithrice,1292.90000544762,1293,1293.000018158731,True,u,19780.309299086894,1821.1999709460251,1669830882454,1821,HRV,HRV_0102,2022-11-30 17:59:09
8,"[{'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 19783.20931850277, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 8.92}, {'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 19783.20931850277, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 8.01}]",19781.20934364563,1669830882455,fruitsalad,bagel and cc,8.92,8.01,-0.9100000000000001,fruitsalad,935.5999854730144,936,935.6999981841254,True,u,21223.30931724563,1442.0999735999976,1669830883897,1442,HRV,HRV_0102,2022-11-30 17:59:09
9,"[{'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 21225.909298528164, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 6.51}, {'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 21226.10932395039, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 3.39}]",21223.909323671025,1669830883897,shreddedwheatwithmilk,rigatoni,6.51,3.39,-3.1199999999999997,rigatoni,1476.199977930155,1477,1476.4000033523807,True,i,23214.70934155039,1990.8000178793664,1669830885888,1991,HRV,HRV_0102,2022-11-30 17:59:09
