trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3667, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 5.32}, {'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3864.2999999523163, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 7.24}]",8069.399999976158,1669829169005,cherry tomato,kiwi,5.32,7.24,1.92,kiwi,602.0,630,630.3999999761581,True,i,9202.099999964237,1132.699999988079,1669829170137,1132,HRV,HRV_0022,2022-11-30 17:28:13
1,"[{'imgObject': {}, 'id': 'popsicles', 'src': '/static/foodstim60/popsicles.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 3986.399999976158, 'positionName': 'LEFT', 'positionCoords': [245.68, 179], 'bid': 6.3}, {'imgObject': {}, 'id': 'yogurt no spoon', 'src': '/static/foodstim60/yogurt no spoon.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4058.699999988079, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 7.59}]",9202.799999952316,1669829170138,popsicles,yogurt no spoon,6.3,7.59,1.29,yogurt no spoon,95.90000003576279,97,96.5,True,i,9799.899999976158,597.1000000238419,1669829170735,597,HRV,HRV_0022,2022-11-30 17:28:13
2,"[{'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4180.899999976158, 'positionName': 'LEFT', 'positionCoords': [246.68, 179], 'bid': 7.57}, {'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4264.799999952316, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 7.75}]",9800.299999952316,1669829170736,baked potato,olives,7.57,7.75,0.17999999999999972,olives,25.5,26,26.0,True,i,10329.699999988079,529.4000000357628,1669829171265,529,HRV,HRV_0022,2022-11-30 17:28:13
3,"[{'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4357.699999988079, 'positionName': 'LEFT', 'positionCoords': [244.68, 179], 'bid': 8.74}, {'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4437.899999976158, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 8.68}]",10329.899999976158,1669829171265,hashbrowns,eggs,8.74,8.68,-0.0600000000000005,eggs,69.69999998807907,72,71.39999997615814,True,i,10903.799999952316,573.8999999761581,1669829171839,574,HRV,HRV_0022,2022-11-30 17:28:13
4,"[{'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4446.599999964237, 'positionName': 'LEFT', 'positionCoords': [245.68, 179.5], 'bid': 6.11}, {'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4509.799999952316, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 6.15}]",10904.099999964237,1669829171839,chicken nuggets2,bagel and cc,6.11,6.15,0.040000000000000036,chicken nuggets2,195.80000001192093,197,196.4000000357628,True,u,11605.399999976158,701.3000000119209,1669829172541,702,HRV,HRV_0022,2022-11-30 17:28:13
5,"[{'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4594.199999988079, 'positionName': 'LEFT', 'positionCoords': [244.68, 178.5], 'bid': 7.04}, {'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4672.899999976158, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179], 'bid': 7.34}]",11605.599999964237,1669829172541,Tribe humus pita,apple slices,7.04,7.34,0.2999999999999998,Tribe humus pita,50.30000001192093,51,50.80000001192093,True,u,12170.299999952316,564.6999999880791,1669829173106,565,HRV,HRV_0022,2022-11-30 17:28:13
6,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4363.299999952316, 'positionName': 'LEFT', 'positionCoords': [246.68, 179.5], 'bid': 8.68}, {'imgObject': {}, 'id': 'blueberries', 'src': '/static/foodstim60/blueberries.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4760.699999988079, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 7.97}]",12170.799999952316,1669829173106,eggs,blueberries,8.68,7.97,-0.71,blueberries,60.40000003576279,61,60.90000003576279,True,i,12745.699999988079,574.9000000357628,1669829173681,575,HRV,HRV_0022,2022-11-30 17:28:13
7,"[{'imgObject': {}, 'id': 'salad w chicken', 'src': '/static/foodstim60/salad w chicken.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4824.099999964237, 'positionName': 'LEFT', 'positionCoords': [244.68, 178.5], 'bid': 7.75}, {'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4824.899999976158, 'positionName': 'RIGHT', 'positionCoords': [710.32, 178.5], 'bid': 7.84}]",12746.0,1669829173681,salad w chicken,rigatoni,7.75,7.84,0.08999999999999986,rigatoni,64.5,65,64.89999997615814,True,i,13320.099999964237,574.0999999642372,1669829174255,574,HRV,HRV_0022,2022-11-30 17:28:13
8,"[{'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4898.599999964237, 'positionName': 'LEFT', 'positionCoords': [245.68, 178.5], 'bid': 6.59}, {'imgObject': {}, 'id': 'omelette', 'src': '/static/foodstim60/omelette.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4962.099999964237, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 6.74}]",13320.399999976158,1669829174256,lox,omelette,6.59,6.74,0.15000000000000036,lox,164.69999998807907,165,165.19999998807907,True,u,13993.599999964237,673.1999999880791,1669829174929,673,HRV,HRV_0022,2022-11-30 17:28:13
9,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 5021.899999976158, 'positionName': 'LEFT', 'positionCoords': [244.68, 178.5], 'bid': 6.12}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4442, 'positionName': 'RIGHT', 'positionCoords': [710.32, 179.5], 'bid': 6.11}]",13994.0,1669829174929,mango,chicken nuggets2,6.12,6.11,-0.009999999999999787,mango,12.0,13,12.399999976158142,True,u,14523.299999952316,529.2999999523163,1669829175459,530,HRV,HRV_0022,2022-11-30 17:28:13
