trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'bagel plain', 'src': '/static/foodstim60/bagel plain.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4132.4000000003725, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 5.03}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 4148.799999999814, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 2.5500000000000003}]",5318.5,1669832746406,bagel plain,cherries,5.03,2.5500000000000003,-2.48,bagel plain,1389.4000000003725,1405,1405.0,True,u,7239.4000000003725,1920.9000000003725,1669832748327,1921,HRV,HRV_0035,2022-11-30 18:30:54
1,"[{'imgObject': {}, 'id': 'sweetpotato', 'src': '/static/foodstim60/sweetpotato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4196.100000000559, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 9.1}, {'imgObject': {}, 'id': 'turkey sandwich', 'src': '/static/foodstim60/turkey sandwich.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 4210.700000000186, 'positionName': 'RIGHT', 'positionCoords': [832, 245.5], 'bid': 7.47}]",7240.100000000559,1669832748327,sweetpotato,turkey sandwich,9.1,7.47,-1.63,turkey sandwich,966.5999999996275,968,967.5999999996275,True,i,8722.700000000186,1482.5999999996275,1669832749810,1483,HRV,HRV_0035,2022-11-30 18:30:54
2,"[{'imgObject': {}, 'id': 'raisin bran w milk', 'src': '/static/foodstim60/raisin bran w milk.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4245, 'positionName': 'LEFT', 'positionCoords': [357, 244.5], 'bid': 6.03}, {'imgObject': {}, 'id': 'roastedpotatoes', 'src': '/static/foodstim60/roastedpotatoes.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 4270.799999999814, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 6.3100000000000005}]",8723.0,1669832749810,raisin bran w milk,roastedpotatoes,6.03,6.3100000000000005,0.28000000000000025,roastedpotatoes,751.2000000001863,753,752.6000000005588,True,i,9982.700000000186,1259.7000000001863,1669832751070,1260,HRV,HRV_0035,2022-11-30 18:30:54
3,"[{'imgObject': {}, 'id': 'bagel and cc', 'src': '/static/foodstim60/bagel and cc.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4287.9000000003725, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 7.7}, {'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4312.5, 'positionName': 'RIGHT', 'positionCoords': [832, 244.5], 'bid': 9.52}]",9983.5,1669832751071,bagel and cc,rigatoni and sauce,7.7,9.52,1.8199999999999994,rigatoni and sauce,870.2999999998137,872,872.0,True,i,11370.0,1386.5,1669832752457,1386,HRV,HRV_0035,2022-11-30 18:30:54
4,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4356.4000000003725, 'positionName': 'LEFT', 'positionCoords': [359, 245], 'bid': 0.2}, {'imgObject': {}, 'id': 'avocado', 'src': '/static/foodstim60/avocado.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 4379.600000000559, 'positionName': 'RIGHT', 'positionCoords': [832, 245.5], 'bid': 0.26}]",11370.299999999814,1669832752458,apple slices,avocado,0.2,0.26,0.06,avocado,1287.2000000001863,1288,1288.4000000003725,True,i,13168.700000000186,1798.4000000003725,1669832754256,1798,HRV,HRV_0035,2022-11-30 18:30:54
5,"[{'imgObject': {}, 'id': 'eggs', 'src': '/static/foodstim60/eggs.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4412.600000000559, 'positionName': 'LEFT', 'positionCoords': [359, 245.5], 'bid': 6.41}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 4421.4000000003725, 'positionName': 'RIGHT', 'positionCoords': [832, 245.5], 'bid': 5.12}]",13169.100000000559,1669832754256,eggs,chicken nuggets2,6.41,5.12,-1.29,chicken nuggets2,802.3999999994412,805,804.2999999998137,True,i,14482.0,1312.8999999994412,1669832755569,1313,HRV,HRV_0035,2022-11-30 18:30:54
6,"[{'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4442.700000000186, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 0.16}, {'imgObject': {}, 'id': 'granola w milk', 'src': '/static/foodstim60/granola w milk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 4488.4000000003725, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 6.8500000000000005}]",14483.299999999814,1669832755571,cherry tomato,granola w milk,0.16,6.8500000000000005,6.69,granola w milk,1075.1000000005588,1077,1077.0,True,i,16071.5,1588.2000000001863,1669832757159,1588,HRV,HRV_0035,2022-11-30 18:30:54
7,"[{'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4505.100000000559, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 9.78}, {'imgObject': {}, 'id': 'mac & cheese', 'src': '/static/foodstim60/mac & cheese.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4562.600000000559, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 9.1}]",16072.299999999814,1669832757160,kiwi,mac & cheese,9.78,9.1,-0.6799999999999997,kiwi,1048.0,1049,1049.4000000003725,True,u,17630.200000000186,1557.9000000003725,1669832758717,1557,HRV,HRV_0035,2022-11-30 18:30:54
8,"[{'imgObject': {}, 'id': 'Grapes', 'src': '/static/foodstim60/Grapes.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4590.299999999814, 'positionName': 'LEFT', 'positionCoords': [357, 244.5], 'bid': 9.22}, {'imgObject': {}, 'id': 'baked potato', 'src': '/static/foodstim60/baked potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4636, 'positionName': 'RIGHT', 'positionCoords': [832, 245], 'bid': 7.640000000000001}]",17630.299999999814,1669832758718,Grapes,baked potato,9.22,7.640000000000001,-1.58,Grapes,1156.9000000003725,1158,1158.5,True,u,19298.799999999814,1668.5,1669832760386,1668,HRV,HRV_0035,2022-11-30 18:30:54
9,"[{'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4649.700000000186, 'positionName': 'LEFT', 'positionCoords': [358, 245], 'bid': 9.15}, {'imgObject': {}, 'id': 'chicken nuggets2', 'src': '/static/foodstim60/chicken nuggets2.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4433, 'positionName': 'RIGHT', 'positionCoords': [832, 245.5], 'bid': 5.12}]",19299.299999999814,1669832760387,shreddedwheatwithmilk,chicken nuggets2,9.15,5.12,-4.03,chicken nuggets2,938.9000000003725,939,939.5,True,i,20751.900000000373,1452.6000000005588,1669832761839,1452,HRV,HRV_0035,2022-11-30 18:30:54
