trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3852.39999999851, 'positionName': 'LEFT', 'positionCoords': [818.8, 515.5], 'bid': 2.39}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 3889, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 514.5], 'bid': 9.96}]",4336.39999999851,1669831542352,luckycharms,cherries,2.39,9.96,7.57,luckycharms,1451.1000000014901,1452,1451.800000000745,True,u,6306.099999997765,1969.699999999255,1669831544321,1969,HRV,HRV_0131,2022-11-30 18:12:10
1,"[{'imgObject': {}, 'id': 'rigatoni and sauce', 'src': '/static/foodstim60/rigatoni and sauce.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 3907.800000000745, 'positionName': 'LEFT', 'positionCoords': [818.8, 514.5], 'bid': 10}, {'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 3917.699999999255, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 10}]",6306.300000000745,1669831544322,rigatoni and sauce,sushi w_condiments,10.0,10.0,0.0,sushi w_condiments,2015.2999999970198,2015,2015.5999999977648,True,i,8824.89999999851,2518.599999997765,1669831546840,2518,HRV,HRV_0131,2022-11-30 18:12:10
2,"[{'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 3930.300000000745, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 5}, {'imgObject': {}, 'id': 'mashed potato', 'src': '/static/foodstim60/mashed potato.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 3938.699999999255, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 2.29}]",8825.0,1669831546840,olives,mashed potato,5.0,2.29,-2.71,olives,1443.8999999985099,1445,1444.300000000745,True,u,10786.0,1961.0,1669831548801,1961,HRV,HRV_0131,2022-11-30 18:12:10
3,"[{'imgObject': {}, 'id': 'seaweed', 'src': '/static/foodstim60/seaweed.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 3998.5, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 7.49}, {'imgObject': {}, 'id': 'cherry tomato', 'src': '/static/foodstim60/cherry tomato.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 4007.099999997765, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 2.36}]",10786.300000000745,1669831548802,seaweed,cherry tomato,7.49,2.36,-5.130000000000001,seaweed,1764.0999999977648,1764,1764.5,True,u,13069.699999999255,2283.39999999851,1669831551085,2283,HRV,HRV_0131,2022-11-30 18:12:10
4,"[{'imgObject': {}, 'id': 'apple slices', 'src': '/static/foodstim60/apple slices.jpg', 'key': 'u', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 3883.800000000745, 'positionName': 'LEFT', 'positionCoords': [819.8, 515], 'bid': 10}, {'imgObject': {}, 'id': 'cherries', 'src': '/static/foodstim60/cherries.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 3884.099999997765, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 514.5], 'bid': 9.96}]",13070.0,1669831551085,apple slices,cherries,10.0,9.96,-0.03999999999999915,apple slices,1109.8999999985099,1111,1110.5,True,u,14700.300000000745,1630.300000000745,1669831552716,1631,HRV,HRV_0131,2022-11-30 18:12:10
5,"[{'imgObject': {}, 'id': 'raspberries', 'src': '/static/foodstim60/raspberries.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 3952.5, 'positionName': 'LEFT', 'positionCoords': [817.8, 514.5], 'bid': 9.89}, {'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 3966.300000000745, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 514.5], 'bid': 8.47}]",14700.599999997765,1669831552716,raspberries,Tribe humus pita,9.89,8.47,-1.42,Tribe humus pita,1263.1000000014901,1263,1263.6000000014901,True,i,16473.5,1772.9000000022352,1669831554489,1773,HRV,HRV_0131,2022-11-30 18:12:10
6,"[{'imgObject': {}, 'id': 'olives', 'src': '/static/foodstim60/olives.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 3930.5, 'positionName': 'LEFT', 'positionCoords': [818.8, 515], 'bid': 5}, {'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 3985.199999999255, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 4.96}]",16473.699999999255,1669831554489,olives,hashbrowns,5.0,4.96,-0.040000000000000036,olives,1835.800000000745,1836,1836.1000000014901,True,u,18816.0,2342.300000000745,1669831556831,2342,HRV,HRV_0131,2022-11-30 18:12:10
7,"[{'imgObject': {}, 'id': 'hashbrowns', 'src': '/static/foodstim60/hashbrowns.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 410, 'width': 411, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 3985.099999997765, 'positionName': 'LEFT', 'positionCoords': [817.8, 515], 'bid': 4.96}, {'imgObject': {}, 'id': 'froot loops w milk', 'src': '/static/foodstim60/froot loops w milk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 4030.800000000745, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 2.76}]",18816.199999999255,1669831556832,hashbrowns,froot loops w milk,4.96,2.76,-2.2,hashbrowns,2587.300000000745,2587,2587.60000000149,True,u,21912.099999997765,3095.89999999851,1669831559927,3095,HRV,HRV_0131,2022-11-30 18:12:10
8,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4035.599999997765, 'positionName': 'LEFT', 'positionCoords': [817.8, 514.5], 'bid': 10}, {'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 4045, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515], 'bid': 9.99}]",21912.199999999255,1669831559928,tacos,steak,10.0,9.99,-0.009999999999999787,steak,1275.3999999985099,1275,1275.699999999255,True,i,23706.800000000745,1794.6000000014901,1669831561722,1794,HRV,HRV_0131,2022-11-30 18:12:10
9,"[{'imgObject': {}, 'id': 'mango', 'src': '/static/foodstim60/mango.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4050.199999999255, 'positionName': 'LEFT', 'positionCoords': [817.8, 514.5], 'bid': 10}, {'imgObject': {}, 'id': 'hotdog w must', 'src': '/static/foodstim60/hotdog w must.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 4068.199999999255, 'positionName': 'RIGHT', 'positionCoords': [1331.2, 515.5], 'bid': 10}]",23706.89999999851,1669831561722,mango,hotdog w must,10.0,10.0,0.0,mango,1764.6000000014901,1765,1764.800000000745,True,u,25981.39999999851,2274.5,1669831563997,2275,HRV,HRV_0131,2022-11-30 18:12:10
