trialN,stimuli,trialStartTime,trialStartTime_UNIX,stimulus1,stimulus2,stimulus1Bid,stimulus2Bid,delta,selected,rt,rt_UNIX,rt_perfnow,receivedResponse,rsp,trialEndTime,trialDuration,trialEndTime_UNIX,trialDuration_UNIX,exp,subjectId,date
0,"[{'imgObject': {}, 'id': 'grilled chicken strips', 'src': '/static/foodstim60/grilled chicken strips.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2153.4000000953674, 'positionName': 'LEFT', 'positionCoords': [511.6, 334.5], 'bid': 0.03}, {'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 0, 'loaded': True, 'loadedTime': 2196, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 0}]",3450.100000143051,1669836804579,grilled chicken strips,sushi w_condiments,0.03,0.0,-0.03,grilled chicken strips,1513.0,1514,1513.5,True,u,5470.700000047684,2020.5999999046326,1669836806600,2021,HRV,HRV_0264,2022-11-30 19:39:00
1,"[{'imgObject': {}, 'id': 'tacos', 'src': '/static/foodstim60/tacos.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2218.100000143051, 'positionName': 'LEFT', 'positionCoords': [510.6, 334.5], 'bid': 0.02}, {'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 1, 'loaded': True, 'loadedTime': 2227.300000190735, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 0.23}]",5471.0,1669836806600,tacos,fruitsalad,0.02,0.23,0.21000000000000002,fruitsalad,1364.3000001907349,1365,1364.6000001430511,True,i,7342.300000190735,1871.3000001907349,1669836808471,1871,HRV,HRV_0264,2022-11-30 19:39:00
2,"[{'imgObject': {}, 'id': 'sushi w_condiments', 'src': '/static/foodstim60/sushi w_condiments.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2165.7000000476837, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0}, {'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 2, 'loaded': True, 'loadedTime': 2276.800000190735, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 0.01}]",7342.400000095367,1669836808471,sushi w_condiments,blackbeanswithrice,0.0,0.01,0.01,blackbeanswithrice,2053.0,2054,2053.2000000476837,True,i,9901.5,2559.0999999046326,1669836811030,2559,HRV,HRV_0264,2022-11-30 19:39:00
3,"[{'imgObject': {}, 'id': 'strawberries', 'src': '/static/foodstim60/strawberries.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2285.5, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0.1}, {'imgObject': {}, 'id': 'luckycharms', 'src': '/static/foodstim60/luckycharms.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 409, 'width': 410, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 3, 'loaded': True, 'loadedTime': 2335.7000000476837, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335.5], 'bid': 0.1}]",9901.800000190735,1669836811031,strawberries,luckycharms,0.1,0.1,0.0,luckycharms,1301.7999999523163,1302,1302.0999999046326,True,i,11709.5,1807.6999998092651,1669836812839,1808,HRV,HRV_0264,2022-11-30 19:39:00
4,"[{'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2268.4000000953674, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0.01}, {'imgObject': {}, 'id': 'Tribe humus pita', 'src': '/static/foodstim60/Tribe humus pita.jpg', 'key': 'i', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 4, 'loaded': True, 'loadedTime': 2355.4000000953674, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 0.06}]",11709.800000190735,1669836812839,blackbeanswithrice,Tribe humus pita,0.01,0.06,0.049999999999999996,blackbeanswithrice,2293.5,2294,2293.899999856949,True,u,14509.800000190735,2800.0,1669836815639,2800,HRV,HRV_0264,2022-11-30 19:39:00
5,"[{'imgObject': {}, 'id': 'rigatoni', 'src': '/static/foodstim60/rigatoni.jpg', 'key': 'u', 'origWidth': 411, 'origHeight': 411, 'width': 411, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2403.100000143051, 'positionName': 'LEFT', 'positionCoords': [510.6, 334.5], 'bid': 0.21}, {'imgObject': {}, 'id': 'blackbeanswithrice', 'src': '/static/foodstim60/blackbeanswithrice.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 5, 'loaded': True, 'loadedTime': 2243.4000000953674, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 0.01}]",14509.900000095367,1669836815639,rigatoni,blackbeanswithrice,0.21,0.01,-0.19999999999999998,blackbeanswithrice,1509.2000000476837,1509,1509.4000000953674,True,i,16525.900000095367,2016.0,1669836817655,2016,HRV,HRV_0264,2022-11-30 19:39:00
6,"[{'imgObject': {}, 'id': 'shreddedwheatwithmilk', 'src': '/static/foodstim60/shreddedwheatwithmilk.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2418.800000190735, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0.12}, {'imgObject': {}, 'id': 'cheerios', 'src': '/static/foodstim60/cheerios.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 410, 'width': 409, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 6, 'loaded': True, 'loadedTime': 2460.7000000476837, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 0.13}]",16526.0,1669836817655,shreddedwheatwithmilk,cheerios,0.12,0.13,0.010000000000000009,cheerios,1076.9000000953674,1077,1077.3000001907349,True,i,18109.900000095367,1583.9000000953674,1669836819239,1584,HRV,HRV_0264,2022-11-30 19:39:00
7,"[{'imgObject': {}, 'id': 'kiwi', 'src': '/static/foodstim60/kiwi.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2469.300000190735, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0.12}, {'imgObject': {}, 'id': 'lox', 'src': '/static/foodstim60/lox.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 411, 'width': 410, 'height': 411, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 7, 'loaded': True, 'loadedTime': 2504, 'positionName': 'RIGHT', 'positionCoords': [998.4, 334.5], 'bid': 0.12}]",18110.0,1669836819239,kiwi,lox,0.12,0.12,0.0,kiwi,1573.1000001430511,1573,1573.3000001907349,True,u,20190.200000047684,2080.2000000476837,1669836821319,2080,HRV,HRV_0264,2022-11-30 19:39:00
8,"[{'imgObject': {}, 'id': 'steak', 'src': '/static/foodstim60/steak.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2565.300000190735, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 9.92}, {'imgObject': {}, 'id': 'granola w milk', 'src': '/static/foodstim60/granola w milk.jpg', 'key': 'i', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 8, 'loaded': True, 'loadedTime': 2582.800000190735, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335], 'bid': 0.13}]",20190.300000190735,1669836821319,steak,granola w milk,9.92,0.13,-9.79,steak,884.5999999046326,885,884.8999998569489,True,u,21582.0,1391.6999998092651,1669836822711,1392,HRV,HRV_0264,2022-11-30 19:39:00
9,"[{'imgObject': {}, 'id': 'fruitsalad', 'src': '/static/foodstim60/fruitsalad.jpg', 'key': 'u', 'origWidth': 410, 'origHeight': 410, 'width': 410, 'height': 410, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2227.5, 'positionName': 'LEFT', 'positionCoords': [511.6, 335], 'bid': 0.23}, {'imgObject': {}, 'id': 'cantaloupe', 'src': '/static/foodstim60/cantaloupe.jpg', 'key': 'i', 'origWidth': 409, 'origHeight': 409, 'width': 409, 'height': 409, 'widthPercent': 0.45, 'rescaleHeight': False, 'trialN': 9, 'loaded': True, 'loadedTime': 2595.2000000476837, 'positionName': 'RIGHT', 'positionCoords': [998.4, 335.5], 'bid': 0.12}]",21582.10000014305,1669836822711,fruitsalad,cantaloupe,0.23,0.12,-0.11000000000000001,fruitsalad,981.5,982,981.8999998569489,True,u,23070.10000014305,1488.0,1669836824199,1488,HRV,HRV_0264,2022-11-30 19:39:00
